iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_tests,total_tests_per_thousand,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,median_age,gdp_per_capita,human_development_index,CPI_score_2020,vaccines_used
BEL,Europe,Belgium,2021-04-01,887920,23045,76613.41,1988.418,11304107,975.365,2037445,1469624,567821,17.58,12.68,4.9,11589616,41.8,42658.576,0.931,76,Moderna - mRNA-1273
BEL,Europe,Belgium,2021-04-01,887920,23045,76613.41,1988.418,11304107,975.365,2037445,1469624,567821,17.58,12.68,4.9,11589616,41.8,42658.576,0.931,76,Pfizer BioNTech - Comirnaty
BLZ,North America,Belize,2021-04-01,12456,317,31326.313,797.242,0,0,0,0,0,0,0,0,397621,25,7824.362,0.716,NA,AstraZeneca - AZD1222
BLZ,North America,Belize,2021-04-01,12456,317,31326.313,797.242,0,0,0,0,0,0,0,0,397621,25,7824.362,0.716,NA,SII - Covishield
BEN,Africa,Benin,2021-04-01,7313,93,603.224,7.671,0,0,0,0,0,0,0,0,12123198,18.8,2064.236,0.545,41,SII - Covishield
BEN,Africa,Benin,2021-04-01,7313,93,603.224,7.671,0,0,0,0,0,0,0,0,12123198,18.8,2064.236,0.545,41,Sinovac - CoronaVac
BTN,Asia,Bhutan,2021-04-01,886,1,1148.245,1.296,0,0,434837,434837,0,56.35,56.35,0,771612,28.6,8708.597,0.654,68,Pfizer BioNTech - Comirnaty
BTN,Asia,Bhutan,2021-04-01,886,1,1148.245,1.296,0,0,434837,434837,0,56.35,56.35,0,771612,28.6,8708.597,0.654,68,SII - Covishield
BOL,South America,Bolivia,2021-04-01,273327,12280,23415.259,1051.998,914295,78.325,318115,203103,115012,2.73,1.74,0.99,11673029,25.4,6885.829,0.718,31,Beijing CNBG - Inactivated
BOL,South America,Bolivia,2021-04-01,273327,12280,23415.259,1051.998,914295,78.325,318115,203103,115012,2.73,1.74,0.99,11673029,25.4,6885.829,0.718,31,Gamaleya - Sputnik V
BOL,South America,Bolivia,2021-04-01,273327,12280,23415.259,1051.998,914295,78.325,318115,203103,115012,2.73,1.74,0.99,11673029,25.4,6885.829,0.718,31,SII - Covishield
BIH,Europe,Bosnia and Herzegovina,2021-04-01,171324,6675,52219.951,2034.555,796448,242.759,0,0,0,0,0,0,3280815,42.5,11713.895,0.78,35,AstraZeneca - AZD1222
BIH,Europe,Bosnia and Herzegovina,2021-04-01,171324,6675,52219.951,2034.555,796448,242.759,0,0,0,0,0,0,3280815,42.5,11713.895,0.78,35,Pfizer BioNTech - Comirnaty
BIH,Europe,Bosnia and Herzegovina,2021-04-01,171324,6675,52219.951,2034.555,796448,242.759,0,0,0,0,0,0,3280815,42.5,11713.895,0.78,35,Gamaleya - Sputnik V
BWA,Africa,Botswana,2021-04-01,40878,591,17382.874,251.316,0,0,0,0,0,0,0,0,2351625,25.8,15807.374,0.735,60,SII - Covishield
BRA,South America,Brazil,2021-04-01,12839844,325284,60405.908,1530.32,0,0,0,0,0,0,0,0,212559409,33.5,14103.452,0.765,38,AstraZeneca - AZD1222
BRA,South America,Brazil,2021-04-01,12839844,325284,60405.908,1530.32,0,0,0,0,0,0,0,0,212559409,33.5,14103.452,0.765,38,Pfizer BioNTech - Comirnaty
BRA,South America,Brazil,2021-04-01,12839844,325284,60405.908,1530.32,0,0,0,0,0,0,0,0,212559409,33.5,14103.452,0.765,38,SII - Covishield
BRA,South America,Brazil,2021-04-01,12839844,325284,60405.908,1530.32,0,0,0,0,0,0,0,0,212559409,33.5,14103.452,0.765,38,Sinovac - CoronaVac
BRN,Asia,Brunei,2021-04-01,213,3,486.876,6.857,0,0,0,0,0,0,0,0,437483,32.4,71809.251,0.838,60,AstraZeneca - AZD1222
BRN,Asia,Brunei,2021-04-01,213,3,486.876,6.857,0,0,0,0,0,0,0,0,437483,32.4,71809.251,0.838,60,Beijing CNBG - Inactivated
BRN,Asia,Brunei,2021-04-01,213,3,486.876,6.857,0,0,0,0,0,0,0,0,437483,32.4,71809.251,0.838,60,Janssen - Ad26.COV 2.5
