iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_tests,total_tests_per_thousand,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,median_age,gdp_per_capita,human_development_index,CPI_score_2020,vaccines_used
KOR,Asia,South Korea,2021-04-01,104194,1737,2032.293,33.88,7678644,149.771,933924,914069,19855,1.82,1.78,0.04,51269183,43.4,35938.374,0.916,61,Pfizer BioNTech - Comirnaty
SSD,Africa,South Sudan,2021-04-01,10197,112,910.956,10.006,0,0,0,0,0,0,0,0,11193729,19.2,1569.888,0.433,12,SII - Covishield
ESP,Europe,Spain,2021-04-01,3291394,75541,70396.947,1615.685,37051805,792.471,8342155,5545140,2797015,17.84,11.86,5.98,46754783,45.5,34272.36,0.904,62,AstraZeneca - AZD1222
ESP,Europe,Spain,2021-04-01,3291394,75541,70396.947,1615.685,37051805,792.471,8342155,5545140,2797015,17.84,11.86,5.98,46754783,45.5,34272.36,0.904,62,Moderna - mRNA-1273
ESP,Europe,Spain,2021-04-01,3291394,75541,70396.947,1615.685,37051805,792.471,8342155,5545140,2797015,17.84,11.86,5.98,46754783,45.5,34272.36,0.904,62,Pfizer BioNTech - Comirnaty
LKA,Asia,Sri Lanka,2021-04-01,92917,571,4339.229,26.666,0,0,919753,919753,0,4.3,4.3,0,21413250,34.1,11669.077,0.782,38,Beijing CNBG - Inactivated
LKA,Asia,Sri Lanka,2021-04-01,92917,571,4339.229,26.666,0,0,919753,919753,0,4.3,4.3,0,21413250,34.1,11669.077,0.782,38,Gamaleya - Sputnik V
LKA,Asia,Sri Lanka,2021-04-01,92917,571,4339.229,26.666,0,0,919753,919753,0,4.3,4.3,0,21413250,34.1,11669.077,0.782,38,SII - Covishield
SDN,Africa,Sudan,2021-04-01,31833,2063,725.964,47.048,0,0,0,0,0,0,0,0,43849269,19.7,4466.507,0.51,16,Pfizer BioNTech - Comirnaty
SDN,Africa,Sudan,2021-04-01,31833,2063,725.964,47.048,0,0,0,0,0,0,0,0,43849269,19.7,4466.507,0.51,16,SII - Covishield
SUR,South America,Suriname,2021-04-01,9122,177,15549.729,301.721,0,0,0,0,0,0,0,0,586634,29.6,13767.119,0.738,38,AstraZeneca - AZD1222
SUR,South America,Suriname,2021-04-01,9122,177,15549.729,301.721,0,0,0,0,0,0,0,0,586634,29.6,13767.119,0.738,38,SII - Covishield
SWE,Europe,Sweden,2021-04-01,813191,13498,80519.78,1336.532,0,0,0,0,0,0,0,0,10099270,41,46949.283,0.945,85,AstraZeneca - AZD1222
SWE,Europe,Sweden,2021-04-01,813191,13498,80519.78,1336.532,0,0,0,0,0,0,0,0,10099270,41,46949.283,0.945,85,Moderna - mRNA-1273
SWE,Europe,Sweden,2021-04-01,813191,13498,80519.78,1336.532,0,0,0,0,0,0,0,0,10099270,41,46949.283,0.945,85,Pfizer BioNTech - Comirnaty
CHE,Europe,Switzerland,2021-04-01,603092,10350,69684.416,1195.893,5743027,663.579,1562013,976631,585382,18.05,11.28,6.76,8654618,43.1,57410.166,0.955,85,Moderna - mRNA-1273
CHE,Europe,Switzerland,2021-04-01,603092,10350,69684.416,1195.893,5743027,663.579,1562013,976631,585382,18.05,11.28,6.76,8654618,43.1,57410.166,0.955,85,Pfizer BioNTech - Comirnaty
SYR,Asia,Syria,2021-04-01,19039,1274,1087.902,72.797,0,0,0,0,0,0,0,0,17500657,21.7,NA,0.567,14,Gamaleya - Sputnik V
